File, AvgCyclomatic, AvgCyclomaticModified, AvgCyclomaticStrict, AvgEssential, AvgLine, AvgLineBlank, AvgLineCode, AvgLineComment, CountDeclClass, CountDeclClassMethod, CountDeclClassVariable, CountDeclExecutableUnit, CountDeclFunction, CountDeclInstanceMethod, CountDeclInstanceVariable, CountDeclMethod, CountDeclMethodDefault, CountDeclMethodPrivate, CountDeclMethodProtected, CountDeclMethodPublic, CountLine, CountLineBlank, CountLineCode, CountLineCodeDecl, CountLineCodeExe, CountLineComment, CountSemicolon, CountStmt, CountStmtDecl, CountStmtExe, MaxCyclomatic, MaxCyclomaticModified, MaxCyclomaticStrict, MaxEssential, MaxNesting, RatioCommentToCode, SumCyclomatic, SumCyclomaticModified, SumCyclomaticStrict, SumEssential,ChangeMetrics,ChurnMetrics,PreReleaseDefects,post_release_bugs,Authors
TestCompletedTask.java,1,1,1,1,26,5,19,2,1,0,0,2,2,2,0,2,0,0,0,2,95,15,58,34,33,22,49,52,31,21,1,1,1,1,0,0.38,2,2,2,2,0,2,0,0,2
TestCompositeGroupMapping.java,1,1,1,1,6,0,5,0,5,0,9,13,13,13,4,13,0,0,2,11,185,37,127,63,58,22,65,87,49,38,3,3,3,1,1,0.17,19,19,20,13,0,1,0,0,1
TestCompositeService.java,1,1,1,1,11,0,8,1,12,4,5,48,48,44,8,48,0,5,7,36,663,100,472,162,289,91,252,331,137,194,6,6,7,1,3,0.19,73,73,74,48,0,1,2,1,10
TestCompressionEmulationUtils.java,1,1,1,1,33,4,22,7,2,1,0,15,15,14,0,15,0,2,0,13,586,79,379,170,267,131,245,277,136,141,6,6,6,1,4,0.35,28,28,28,15,2,1,3,0,8
TestCompressorDecompressor.java,2,2,2,1,15,1,14,0,1,1,1,3,3,2,0,3,0,0,0,3,101,9,59,24,35,33,26,33,23,10,2,2,2,1,1,0.56,6,6,6,3,0,1,0,2,1
TestCompressorStream.java,1,1,1,1,9,0,6,3,1,0,2,3,3,3,0,3,0,0,0,3,75,8,40,15,19,27,19,26,13,13,2,2,2,1,1,0.68,4,4,4,3,0,1,0,0,1
TestComputeFairShares.java,1,1,1,1,12,0,8,4,1,0,0,12,12,12,1,12,0,2,0,10,212,19,120,35,71,73,71,86,27,59,2,2,2,1,1,0.61,14,14,14,12,0,1,1,2,10
TestComputeInvalidateWork.java,2,2,2,1,23,0,20,2,1,0,0,5,5,5,6,5,0,0,0,5,183,13,136,56,80,34,82,100,51,49,4,4,4,1,3,0.25,11,11,11,5,173,1,0,4,13
TestConcatenatedCompressedInput.java,2,2,2,1,43,5,29,9,1,9,21,14,14,5,0,14,0,8,0,6,726,104,472,153,373,176,325,365,136,229,9,9,9,1,3,0.37,39,38,39,14,0,1,0,1,6
TestConfiguration.java,1,1,1,1,15,0,13,0,8,4,7,78,74,74,18,78,4,5,2,67,1363,143,1135,283,874,86,829,964,292,672,4,4,4,1,2,0.08,116,116,117,78,141,1,13,13,47
TestConfigurationDeprecation.java,1,1,1,1,19,0,16,1,3,1,3,19,19,18,2,19,2,4,0,13,429,38,338,92,245,54,258,290,85,205,5,5,5,1,2,0.16,29,29,29,19,0,1,4,2,15
TestConfigurationFieldsBase.java,6,6,7,4,42,2,30,9,1,1,0,6,7,6,12,7,0,3,0,4,417,40,220,67,146,157,123,173,69,104,14,14,18,14,4,0.71,40,40,44,27,417,1,0,2,1
TestConfigurationSubclass.java,1,1,1,1,6,0,5,1,2,0,1,8,8,8,1,8,0,1,0,7,102,16,53,23,26,33,27,38,21,17,2,2,2,1,1,0.62,9,9,9,8,0,1,0,0,6
